FID,fid,the_geom,id,site_name,continent,country,latitude,longitude,year_opera,year_shut_,main_mar_t,specific_m,link_to_do,influent_s,final_use,main_objec,reference_
Global_MAR_Inventory.1,1,POINT (39.410441 13.974516),2,Koraro-01,Africa,Ethiopia,13.974516,39.410441,2009,-9999,In-Channel Modification,Subsurface Dam,"<a href=""https://inowas.com/mar-methods/subsurface-dams/"" target=""_blank"">Subsurface dams</a>",Groundwater,Domestic,Physical Aquifer Management,no data
Global_MAR_Inventory.2,2,POINT (30.404489 30.38331),3,El Bustan Extension Area,Africa,Egypt,30.38331,30.404489,1995,-9999,Spreading Methods,Infiltration Ponds and Basins,"<a href=""https://inowas.com/mar-methods/infiltration-ponds-and-basins/"" target=""_blank"">Infiltration ponds</a> (<a href=""https://inowas.com/mar-methods/soil-aquifer-treatment-sat/"" target=""_blank"">SAT</a>)",River water,no data,Maximize Natural Storage,"Arabi, N. E. 2011. Artificial Recharge in Egypt Extending the Practice to Soil Aquifer Treatment (SAT). Conference talk presented at the Second Arab Water Forum, November, Cairo, Egypt."
Global_MAR_Inventory.3,3,POINT (31.62777777 22.4222222),4,Toushka Khoure,Africa,Egypt,22.4222222,31.62777777,2001,-9999,Spreading Methods,Infiltration Ponds and Basins,"<a href=""https://inowas.com/mar-methods/infiltration-ponds-and-basins/"" target=""_blank"">Infiltration ponds</a> (<a href=""https://inowas.com/mar-methods/soil-aquifer-treatment-sat/"" target=""_blank"">SAT</a>)",River water,no data,Maximize Natural Storage,"Arabi, N. E. 2011. Artificial Recharge in Egypt Extending the Practice to Soil Aquifer Treatment (SAT). Conference talk presented at the Second Arab Water Forum, November, Cairo, Egypt."
Global_MAR_Inventory.4,4,POINT (31.236138 29.677871),5,Abu Rawash,Africa,Egypt,29.677871,31.236138,-9999,-9999,Spreading Methods,Infiltration Ponds and Basins,"<a href=""https://inowas.com/mar-methods/infiltration-ponds-and-basins/"" target=""_blank"">Infiltration ponds</a> (<a href=""https://inowas.com/mar-methods/soil-aquifer-treatment-sat/"" target=""_blank"">SAT</a>)",Reclaimed wastewater,no data,Water Quality Management,"Arabi, N. E. 2011. Artificial Recharge in Egypt Extending the Practice to Soil Aquifer Treatment (SAT). Conference talk presented at the Second Arab Water Forum, November, Cairo, Egypt."
Global_MAR_Inventory.5,5,POINT (31.389553 26.967987),6,Sidfa Riverbank Filtration,Africa,Egypt,26.967987,31.389553,2004,-9999,Induced Bank Filtration,Induced Bank Filtration,"<a href=""https://inowas.com/mar-methods/induced-bank-filtration/"" target=""_blank"">River/lake bank filtration</a><br><a href=""https://inowas.com/mar-methods/dune-filtration/"" target=""_blank"">Dune filtration</a>",River water,Domestic,Water Quality Management,"Shamrukh, M., and A. Abdel-Wahab. 2008. Riverbank Filtration for Sustainable Water Supply: Application to a Large-Scale Facility on the Nile River. Clean Technologies and Environmental Policy 10 (4): 351–358. doi:10.1007/s10098-007-0143-2."
Global_MAR_Inventory.6,6,POINT (38.00394 -1.46194),7,Kitui District,Africa,Kenia,-1.46194,38.00394,-9999,-9999,In-Channel Modification,Sand Storage Dams,"<a href=""https://inowas.com/mar-methods/sand-dams/"" target=""_blank"">Sand dams</a>",Groundwater,Domestic,Maximize Natural Storage,"<a href=""http://siteresources.worldbank.org/INTWRD/Resources/GWMATE_English_CP_05.pdf"" target=""_blank"">Foster, S., and A. Tuinhof. 2004. Subsurface Dams to Augment Groundwater Storage in Basement Terrain for Human Subsistence in Brazil and Kenya. 5. Case"
Global_MAR_Inventory.7,7,POINT (38.00394 -1.46194),8,Kitui District,Africa,Kenia,-1.46194,38.00394,-9999,-9999,In-Channel Modification,Subsurface Dam,"<a href=""https://inowas.com/mar-methods/subsurface-dams/"" target=""_blank"">Subsurface dams</a>",Groundwater,Domestic,Maximize Natural Storage,"<a href=""http://siteresources.worldbank.org/INTWRD/Resources/GWMATE_English_CP_05.pdf"" target=""_blank"">Foster, S., and A. Tuinhof. 2004. Subsurface Dams to Augment Groundwater Storage in Basement Terrain for Human Subsistence in Brazil and Kenya. 5. Case"
Global_MAR_Inventory.8,8,POINT (38.00394 -1.46194),9,Kiindu Dam 3,Africa,Kenia,-1.46194,38.00394,-9999,-9999,In-Channel Modification,Subsurface Dam,"<a href=""https://inowas.com/mar-methods/subsurface-dams/"" target=""_blank"">Subsurface dams</a>",River water,Domestic,Maximize Natural Storage,"<a href=""https://www.samsamwater.com/library/Gijsbertsen_2007_-_A_study_to_upscaling_of_the_principle_and_sediment_transport_processes_behind_sand_storage_dams_Kitui_District_Kenya.pdf"" target=""_blank"">Gijsbertsen, C. 2007. A Study to up-Scaling of the P"
Global_MAR_Inventory.9,9,POINT (38.00079 -1.45665),10,Kiindu Dam 4,Africa,Kenia,-1.45665,38.00079,-9999,-9999,In-Channel Modification,Subsurface Dam,"<a href=""https://inowas.com/mar-methods/subsurface-dams/"" target=""_blank"">Subsurface dams</a>",River water,Domestic,Maximize Natural Storage,"<a href=""https://www.samsamwater.com/library/Gijsbertsen_2007_-_A_study_to_upscaling_of_the_principle_and_sediment_transport_processes_behind_sand_storage_dams_Kitui_District_Kenya.pdf"" target=""_blank"">Gijsbertsen, C. 2007. A Study to up-Scaling of the P"
Global_MAR_Inventory.10,10,POINT (38.00053 -1.45557),11,Kiindu Dam 5,Africa,Kenia,-1.45557,38.00053,-9999,-9999,In-Channel Modification,Subsurface Dam,"<a href=""https://inowas.com/mar-methods/subsurface-dams/"" target=""_blank"">Subsurface dams</a>",River water,Domestic,Maximize Natural Storage,"<a href=""https://www.samsamwater.com/library/Gijsbertsen_2007_-_A_study_to_upscaling_of_the_principle_and_sediment_transport_processes_behind_sand_storage_dams_Kitui_District_Kenya.pdf"" target=""_blank"">Gijsbertsen, C. 2007. A Study to up-Scaling of the P"
Global_MAR_Inventory.11,11,POINT (37.99972 -1.45142),12,Kiindu Dam 6,Africa,Kenia,-1.45142,37.99972,-9999,-9999,In-Channel Modification,Subsurface Dam,"<a href=""https://inowas.com/mar-methods/subsurface-dams/"" target=""_blank"">Subsurface dams</a>",River water,Domestic,Maximize Natural Storage,"<a href=""https://www.samsamwater.com/library/Gijsbertsen_2007_-_A_study_to_upscaling_of_the_principle_and_sediment_transport_processes_behind_sand_storage_dams_Kitui_District_Kenya.pdf"" target=""_blank"">Gijsbertsen, C. 2007. A Study to up-Scaling of the P"
Global_MAR_Inventory.12,12,POINT (38.00249 -1.449857),13,Kiindu Dam,Africa,Kenia,-1.449857,38.00249,-9999,-9999,In-Channel Modification,Subsurface Dam,"<a href=""https://inowas.com/mar-methods/subsurface-dams/"" target=""_blank"">Subsurface dams</a>",River water,Domestic,Maximize Natural Storage,"<a href=""https://www.samsamwater.com/library/Gijsbertsen_2007_-_A_study_to_upscaling_of_the_principle_and_sediment_transport_processes_behind_sand_storage_dams_Kitui_District_Kenya.pdf"" target=""_blank"">Gijsbertsen, C. 2007. A Study to up-Scaling of the P"
Global_MAR_Inventory.13,13,POINT (37.98505 -1.34344),14,Ana Catchment 1,Africa,Kenia,-1.34344,37.98505,-9999,-9999,In-Channel Modification,Subsurface Dam,"<a href=""https://inowas.com/mar-methods/subsurface-dams/"" target=""_blank"">Subsurface dams</a>",River water,Domestic,Maximize Natural Storage,"<a href=""https://www.samsamwater.com/library/Gijsbertsen_2007_-_A_study_to_upscaling_of_the_principle_and_sediment_transport_processes_behind_sand_storage_dams_Kitui_District_Kenya.pdf"" target=""_blank"">Gijsbertsen, C. 2007. A Study to up-Scaling of the P"
Global_MAR_Inventory.14,14,POINT (37.98888 -1.37143),15,Ana Catchment 2,Africa,Kenia,-1.37143,37.98888,-9999,-9999,In-Channel Modification,Subsurface Dam,"<a href=""https://inowas.com/mar-methods/subsurface-dams/"" target=""_blank"">Subsurface dams</a>",River water,Domestic,Maximize Natural Storage,"<a href=""https://www.samsamwater.com/library/Gijsbertsen_2007_-_A_study_to_upscaling_of_the_principle_and_sediment_transport_processes_behind_sand_storage_dams_Kitui_District_Kenya.pdf"" target=""_blank"">Gijsbertsen, C. 2007. A Study to up-Scaling of the P"
Global_MAR_Inventory.15,15,POINT (37.96826 -1.36987),16,Ana Catchment 3,Africa,Kenia,-1.36987,37.96826,-9999,-9999,In-Channel Modification,Subsurface Dam,"<a href=""https://inowas.com/mar-methods/subsurface-dams/"" target=""_blank"">Subsurface dams</a>",River water,Domestic,Maximize Natural Storage,"<a href=""https://www.samsamwater.com/library/Gijsbertsen_2007_-_A_study_to_upscaling_of_the_principle_and_sediment_transport_processes_behind_sand_storage_dams_Kitui_District_Kenya.pdf"" target=""_blank"">Gijsbertsen, C. 2007. A Study to up-Scaling of the P"
Global_MAR_Inventory.16,16,POINT (-8.877 30.4703),17,Souss - Massa,Africa,Morocco,30.4703,-8.877,-9999,-9999,In-Channel Modification,Channel Spreading,"<a href=""https://inowas.com/mar-methods/channel-spreading/"" target=""_blank"">Channel spreading</a>",River water,Agricultural,Maximize Natural Storage,"Bouchaou, L. 2012. MAR Techniques and Examples Successfully Applied in Light of Climate Change Adaptation: Case Study in Morocco presented at the 2 nd Learning Workshop for GEF MENARID Project Managers, December 11, Amman."
Global_MAR_Inventory.17,17,POINT (17.07356 -22.561459),19,Windhoek,Africa,Namibia,-22.561459,17.07356,-9999,-9999,"Well, Shaft and Borehole Recharge",Dug Well/ Shaft/ Pit Injection,"<a href=""https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/"" target=""_blank"">Shallow well/shaft/pit infiltration</a>",Lake water,Domestic,Maximize Natural Storage,"Van der Merwe, B. 2000. Integrated Water Resource Management in Windhoek, Namibia. Water Supply 18 (1): 376–381"
Global_MAR_Inventory.18,18,POINT (14.513527 -21.902015),20,Omaruru Delta (OMDEL),Africa,Namibia,-21.902015,14.513527,1997,-9999,Spreading Methods,Infiltration Ponds and Basins,"<a href=""https://inowas.com/mar-methods/infiltration-ponds-and-basins/"" target=""_blank"">Infiltration ponds</a> (<a href=""https://inowas.com/mar-methods/soil-aquifer-treatment-sat/"" target=""_blank"">SAT</a>)",River water,Domestic,Maximize Natural Storage,"<a href=""www.artificialrecharge.co.za/coursenotes/lecturenotes.pdf"" target=""_blank"">Murray, R. 2009. Artificial Recharge - The Intentional Banking and Treating of Water in Aquifers. Department Water Affairs and Forestry. www.artificialrecharge.co.za/cour"
Global_MAR_Inventory.19,19,POINT (-106.70293 52.276007),21,Adam's ASR test site,North America,Canada,52.276007,-106.70293,1993,-9999,"Well, Shaft and Borehole Recharge",ASR/ASTR,"<a href=""https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/"" target=""_blank"">ASR</a>/<a href=""https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/"" target=""_blank"">ASTR</a>",Lake water,Domestic,Water Quality Management,"<a href=""https://ecommons.usask.ca/handle/10388/etd-06252012-110647"" target=""_blank"">Adams, C. A. 1993. Artificial Recharge of Confined Prairie Aquifer. Master thesis, Saskatoon, Canada: Department of Agricultural and Bioresource Engineering, University"
Global_MAR_Inventory.20,20,POINT (-106.475703 52.143753),22,Cole's ASR test site 1,North America,Canada,52.143753,-106.475703,1982,-9999,"Well, Shaft and Borehole Recharge",Dug Well/ Shaft/ Pit Injection,"<a href=""https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/"" target=""_blank"">Shallow well/shaft/pit infiltration</a>",River water,Domestic,Water Quality Management,"<a href=""https://ecommons.usask.ca/handle/10388/etd-06152012-114915"" target=""_blank"">Cole, B. J. 1985. Preliminary Investigation of Groundwater Recharge by Injection in Saskatchewan. Master thesis, Saskatoon, Canada: Department of Agricultural Engineerin"
Global_MAR_Inventory.21,21,POINT (-107.239452 52.404789),23,University of Sasketchewan field site 2,North America,Canada,52.404789,-107.239452,1983,-9999,"Well, Shaft and Borehole Recharge",Dug Well/ Shaft/ Pit Injection,"<a href=""https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/"" target=""_blank"">Shallow well/shaft/pit infiltration</a>",Lake water,Domestic,Maximize Natural Storage,"<a href=""https://ecommons.usask.ca/handle/10388/etd-06152012-114915"" target=""_blank"">Cole, B. J. 1985. Preliminary Investigation of Groundwater Recharge by Injection in Saskatchewan. Master thesis, Saskatoon, Canada: Department of Agricultural Engineerin"
Global_MAR_Inventory.22,22,POINT (7.545783 5.480602),24,Michael Okpara University of Agriculture,Africa,Nigeria,5.480602,7.545783,-9999,-9999,"Well, Shaft and Borehole Recharge",Dug Well/ Shaft/ Pit Injection,"<a href=""https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/"" target=""_blank"">Shallow well/shaft/pit infiltration</a>",Storm water,Domestic,Physical Aquifer Management,"<a href=""https://file.scirp.org/pdf/JWARP20110500010_65356994.pdf"" target=""_blank"">Igboekwe, M. U., and A. Ruth. 2011. Groundwater Recharge Through Infiltration Process: A Case Study of Umudike, Southeastern Nigeria. Journal of Water Resource and Protect"
Global_MAR_Inventory.23,23,POINT (8.51672 12.00012),25,Kano River irrigation Project (KRIP),Africa,Nigeria,12.00012,8.51672,2009,-9999,Spreading Methods,Excess Irrigation,"<a href=""https://inowas.com/mar-methods/excess-irrigation/"" target=""_blank"">Excess irrigation</a>",River water,Agricultural,Maximize Natural Storage,"Sobowale, A., A. A. Ramalan, O. J. Mudiare, and M. A. Oyebode. 2014. Groundwater Recharge Studies in Irrigated Lands in Nigeria: Implications for Basin Sustainability. Sustainability of Water Quality and Ecology 3–4 (October). Towards Sustainability As"
Global_MAR_Inventory.24,24,POINT (18.449092 -33.628087),26,Atlantis Water Resource Management Scheme (AWRMS),Africa,South Africa,-33.628087,18.449092,1994,-9999,Spreading Methods,Infiltration Ponds and Basins,"<a href=""https://inowas.com/mar-methods/infiltration-ponds-and-basins/"" target=""_blank"">Infiltration ponds</a> (<a href=""https://inowas.com/mar-methods/soil-aquifer-treatment-sat/"" target=""_blank"">SAT</a>)",Reclaimed wastewater,Domestic,Maximize Natural Storage,"<a href=""www.artificialrecharge.co.za/casestudies/Atlantis_final_10August2010.pdf"" target=""_blank"">Tredoux, G., and J. Cain. 2010. The Atlantis Water Resource Management Scheme: 30 Years of Artificial Groundwater Recharge. P RSA 000/00/11609/10 - Activit"
Global_MAR_Inventory.25,25,POINT (17.887575 -30.36846),27,Kharkams,Africa,South Africa,-30.36846,17.887575,-9999,-9999,"Well, Shaft and Borehole Recharge",ASR/ASTR,"<a href=""https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/"" target=""_blank"">ASR</a>/<a href=""https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/"" target=""_blank"">ASTR</a>",River water,Domestic,Maximize Natural Storage,"<a href=""www.artificialrecharge.co.za/coursenotes/lecturenotes.pdf"" target=""_blank"">Murray, R. 2009. Artificial Recharge - The Intentional Banking and Treating of Water in Aquifers. Department Water Affairs and Forestry. www.artificialrecharge.co.za/cour"
Global_MAR_Inventory.26,26,POINT (29.440344 -23.863168),28,Polokwane,Africa,South Africa,-23.863168,29.440344,-9999,-9999,In-Channel Modification,Channel Spreading,"<a href=""https://inowas.com/mar-methods/channel-spreading/"" target=""_blank"">Channel spreading</a>",Reclaimed wastewater,Agricultural,Water Quality Management,"<a href=""www.artificialrecharge.co.za/coursenotes/lecturenotes.pdf"" target=""_blank"">Murray, R. 2009. Artificial Recharge - The Intentional Banking and Treating of Water in Aquifers. Department Water Affairs and Forestry. www.artificialrecharge.co.za/cour"
Global_MAR_Inventory.796,796,POINT (-78.531114 -7.159392),859,Cajamarca,South America,Peru,-7.159392,-78.531114,2006,-9999,Rainwater and Run-off Harvesting,Trenches,"<a href=""https://inowas.com/mar-methods/trenches/"" target=""_blank"">Trenches</a>",Storm water,Ecological,Ecological Benefits,no data
Global_MAR_Inventory.27,27,POINT (19.773245 -31.464017),29,Calvinia artificial recharge scheme,Africa,South Africa,-31.464017,19.773245,-9999,-9999,"Well, Shaft and Borehole Recharge",ASR/ASTR,"<a href=""https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/"" target=""_blank"">ASR</a>/<a href=""https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/"" target=""_blank"">ASTR</a>",Lake water,Domestic,Water Quality Management,"<a href=""http://www.artificialrecharge.co.za/casestudies/calvinia.pdf"" target=""_blank"">Murray, R. 2015. Calvinia. Lecture. http://www.artificialrecharge.co.za/05casestudies.html (accessed September 3, 2015)</a>"
Global_MAR_Inventory.28,28,POINT (18.046854 -33.076732),30,Langebaan,Africa,South Africa,-33.076732,18.046854,-9999,-9999,"Well, Shaft and Borehole Recharge",Dug Well/ Shaft/ Pit Injection,"<a href=""https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/"" target=""_blank"">Shallow well/shaft/pit infiltration</a>",River water,no data,Maximize Natural Storage,"<a href=""http://www.artificialrecharge.co.za/05casestudies.html"" target=""_blank"">Langebaan Borehole Injection Tests. 2008. Weekend Cape Argus, December 7. http://www.artificialrecharge.co.za/05casestudies.html (accessed September 4, 2015).</a>"
Global_MAR_Inventory.29,29,POINT (23.350715 -34.060875),31,Plettenberg Bay,Africa,South Africa,-34.060875,23.350715,-9999,-9999,"Well, Shaft and Borehole Recharge",Dug Well/ Shaft/ Pit Injection,"<a href=""https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/"" target=""_blank"">Shallow well/shaft/pit infiltration</a>",River water,Domestic,Maximize Natural Storage,"Murray, R. 2007. Bitou Municipality: Groundwater Management and Artificial Recharge Feasability Study. Stellenbosch, South Africa: Bitou Municipality. http://www.artificialrecharge.co.za/05casestudies.html"
Global_MAR_Inventory.30,30,POINT (27.881128 -25.630232),32,Eland Platinum Mine,Africa,South Africa,-25.630232,27.881128,2007,-9999,In-Channel Modification,Sand Storage Dams,"<a href=""https://inowas.com/mar-methods/sand-dams/"" target=""_blank"">Sand dams</a>",no data,Industrial,Maximize Natural Storage,"Botha, F. S. 2009. Can Man-Made Aquifers Provide a Solution for a Thirsty Mining Industry? In ISMAR 7. Proceedings of the Symposium Achieving Ground Water Supply Sustainability & Reliability through Managed Aquifer Recharge, 230–235. Abu Dabi, UAE: DIN"
Global_MAR_Inventory.31,31,POINT (21.216791 -31.624083),35,Williston,Africa,South Africa,-31.624083,21.216791,-9999,-9999,"Well, Shaft and Borehole Recharge",ASR/ASTR,"<a href=""https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/"" target=""_blank"">ASR</a>/<a href=""https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/"" target=""_blank"">ASTR</a>",Groundwater,Domestic,Maximize Natural Storage,"<a href=""http://www.artificialrecharge.co.za/booklet/AR_Booklet_13Jan2011.pdf"" target=""_blank"">Murray, R., and J. Harris. 2010. Water Banking: A Practical Guide to Using Artificial Groundwater Recharge. Pretoria, South Africa: Department of Water Affairs"
Global_MAR_Inventory.32,32,POINT (22.805502 -34.021103),36,Sedgefield,Africa,South Africa,-34.021103,22.805502,-9999,-9999,Spreading Methods,Infiltration Ponds and Basins,"<a href=""https://inowas.com/mar-methods/infiltration-ponds-and-basins/"" target=""_blank"">Infiltration ponds</a> (<a href=""https://inowas.com/mar-methods/soil-aquifer-treatment-sat/"" target=""_blank"">SAT</a>)",Reclaimed wastewater,no data,Maximize Natural Storage,"<a href=""http://www.artificialrecharge.co.za/casestudies/Activity_No_36Report_26_RM_161210_low%20res.pdf"" target=""_blank"">Murray, R., and P. Ravenscroft. 2010. Potential Artificial Recharge Schemes: Planning for Implementation. Pretoria, South Africa: De"
Global_MAR_Inventory.33,33,POINT (19.234465 -34.418697),37,Hermanus,Africa,South Africa,-34.418697,19.234465,-9999,-9999,In-Channel Modification,Subsurface Dam,"<a href=""https://inowas.com/mar-methods/subsurface-dams/"" target=""_blank"">Subsurface dams</a>",Storm water,Domestic,Maximize Natural Storage,"<a href=""http://www.artificialrecharge.co.za/casestudies/Activity_No_36Report_26_RM_161210_low%20res.pdf"" target=""_blank"">Murray, R., and P. Ravenscroft. 2010. Potential Artificial Recharge Schemes: Planning for Implementation. Pretoria, South Africa: De"
Global_MAR_Inventory.34,34,POINT (19.443363 -30.953936),38,Loeriesfontein,Africa,South Africa,-30.953936,19.443363,-9999,-9999,"Well, Shaft and Borehole Recharge",Dug Well/ Shaft/ Pit Injection,"<a href=""https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/"" target=""_blank"">Shallow well/shaft/pit infiltration</a>",Storm water,Domestic,no data,"<a href=""http://www.artificialrecharge.co.za/booklet/AR_Booklet_13Jan2011.pdf"" target=""_blank"">Murray, R., and J. Harris. 2010. Water Banking: A Practical Guide to Using Artificial Groundwater Recharge. Pretoria, South Africa: Department of Water Affairs"
Global_MAR_Inventory.35,35,POINT (22.029932 -33.222633),39,Prince Albert,Africa,South Africa,-33.222633,22.029932,-9999,-9999,"Well, Shaft and Borehole Recharge",Dug Well/ Shaft/ Pit Injection,"<a href=""https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/"" target=""_blank"">Shallow well/shaft/pit infiltration</a>",no data,Agricultural,no data,"<a href=""http://www.dwa.gov.za/Documents/Other/Water%20Resources/ARStrategyforSAJun07SecD.pdf"" target=""_blank"">Murray, R., G. Tredoux, P. Ravenscroft, and F. Botha. 2007. Artificial Recharge Strategy - Version 1.3. Department of Water Affairs and Forestr"
Global_MAR_Inventory.36,36,POINT (22 -29.5),42,Northern Cape,Africa,South Africa,-29.5,22,1959,-9999,"Well, Shaft and Borehole Recharge",Dug Well/ Shaft/ Pit Injection,"<a href=""https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/"" target=""_blank"">Shallow well/shaft/pit infiltration</a>",River water,Agricultural,no data,"<a href=""http://journals.co.za/docserver/fulltext/waters/4/2/2121.pdf?expires=1523282365&id=id&accname=guest&checksum=C1AB96544A12A225D8AB3BA7993538D4"" target=""_blank"">Smit, P. J. 1978. Groundwater Recharge in the Dolomite of the Ghaap Plateau near Kurum"
Global_MAR_Inventory.37,37,POINT (10.201305 36.623334),47,Khlidia,Africa,Tunesia,36.623334,10.201305,1991,-9999,Spreading Methods,Infiltration Ponds and Basins,"<a href=""https://inowas.com/mar-methods/infiltration-ponds-and-basins/"" target=""_blank"">Infiltration ponds</a> (<a href=""https://inowas.com/mar-methods/soil-aquifer-treatment-sat/"" target=""_blank"">SAT</a>)",River water,no data,Physical Aquifer Management,"Mhamdi, R., and V. M. Heilweil. 2007. A Quantitative Evaluation Of The Impacts Of Artificial Recharge To The Mornag Aquifer System Of Northern Tunisia. In Management Of Aquifer Recharge For Sustainability, 484–493. Phoenix, AZ: Acacia Publishing Incorp"
Global_MAR_Inventory.38,38,POINT (10.25 36.883),49,Soukra,Africa,Tunisia,36.883,10.25,1965,-9999,Spreading Methods,Flooding,"<a href=""https://inowas.com/mar-methods/flooding/"" target=""_blank"">Flooding</a>",Reclaimed wastewater,Agricultural,Physical Aquifer Management,"<a href=""http://www.swim-sustain-water.net/fileadmin/resources/conf-_presentations/Tunisian_Experience_in_Artificial_Recharge_using_Treated_Waste_Water.pdf"" target=""_blank"">Chaieb, H. 2014. Tunisian Experience in Artificial Recharge Using Treated Waste W"
Global_MAR_Inventory.39,39,POINT (10.6167 36.4),50,Nabeul-Hammamet,Africa,Tunisia,36.4,10.6167,1986,-9999,Spreading Methods,Infiltration Ponds and Basins,"<a href=""https://inowas.com/mar-methods/infiltration-ponds-and-basins/"" target=""_blank"">Infiltration ponds</a> (<a href=""https://inowas.com/mar-methods/soil-aquifer-treatment-sat/"" target=""_blank"">SAT</a>)",Reclaimed wastewater,no data,Water Quality Management,"<a href=""http://www.swim-sustain-water.net/fileadmin/resources/conf-_presentations/Tunisian_Experience_in_Artificial_Recharge_using_Treated_Waste_Water.pdf"" target=""_blank"">Chaieb, H. 2014. Tunisian Experience in Artificial Recharge Using Treated Waste W"
Global_MAR_Inventory.40,40,POINT (10.69585 34.69983),51,El Hajeb-Sidi Abid,Africa,Tunisia,34.69983,10.69585,1989,-9999,Spreading Methods,Flooding,"<a href=""https://inowas.com/mar-methods/flooding/"" target=""_blank"">Flooding</a>",Reclaimed wastewater,no data,Maximize Natural Storage,"<a href=""http://www.swim-sustain-water.net/fileadmin/resources/conf-_presentations/Tunisian_Experience_in_Artificial_Recharge_using_Treated_Waste_Water.pdf"" target=""_blank"">Chaieb, H. 2014. Tunisian Experience in Artificial Recharge Using Treated Waste W"
Global_MAR_Inventory.41,41,POINT (11.06222 35.50472),52,Boumerdes aquifer,Africa,Tunisia,35.50472,11.06222,2003,-9999,Induced Bank Filtration,Induced Bank Filtration,"<a href=""https://inowas.com/mar-methods/induced-bank-filtration/"" target=""_blank"">River/lake bank filtration</a><br><a href=""https://inowas.com/mar-methods/dune-filtration/"" target=""_blank"">Dune filtration</a>",Storm water,no data,Maximize Natural Storage,"<a href=""http://www.swim-sustain-water.net/fileadmin/resources/conf-_presentations/Tunisian_Experience_in_Artificial_Recharge_using_Treated_Waste_Water.pdf"" target=""_blank"">Chaieb, H. 2014. Tunisian Experience in Artificial Recharge Using Treated Waste W"
Global_MAR_Inventory.42,42,POINT (11.06222 35.50472),53,Mahdia-Ksour Essef aquifer,Africa,Tunisia,35.50472,11.06222,1994,-9999,Induced Bank Filtration,Induced Bank Filtration,"<a href=""https://inowas.com/mar-methods/induced-bank-filtration/"" target=""_blank"">River/lake bank filtration</a><br><a href=""https://inowas.com/mar-methods/dune-filtration/"" target=""_blank"">Dune filtration</a>",Storm water,no data,Maximize Natural Storage,"<a href=""http://www.swim-sustain-water.net/fileadmin/resources/conf-_presentations/Tunisian_Experience_in_Artificial_Recharge_using_Treated_Waste_Water.pdf"" target=""_blank"">Chaieb, H. 2014. Tunisian Experience in Artificial Recharge Using Treated Waste W"
Global_MAR_Inventory.43,43,POINT (10.909284 36.66471),54,Korba,Africa,Tunisia,36.66471,10.909284,2002,-9999,Spreading Methods,Infiltration Ponds and Basins,"<a href=""https://inowas.com/mar-methods/infiltration-ponds-and-basins/"" target=""_blank"">Infiltration ponds</a> (<a href=""https://inowas.com/mar-methods/soil-aquifer-treatment-sat/"" target=""_blank"">SAT</a>)",Reclaimed wastewater,no data,Physical Aquifer Management,"<a href=""http://www.landandwater2013.iamb.it/Proceedings%20-%20Book%20of%20Abstracts%20-%20last%20version%2031.10.13.pdf"" target=""_blank"">Chaieb, H., R. Moncef, N. Ouerfelli, M. Laghi, L. Magagnini, O. Tosatto, A. De Angelis, F. Sollazzo, and P. Teatini."
Global_MAR_Inventory.44,44,POINT (-9.596897 30.333874),55,Ben Sergao,Africa,Morocco,30.333874,-9.596897,1988,-9999,Spreading Methods,Infiltration Ponds and Basins,"<a href=""https://inowas.com/mar-methods/infiltration-ponds-and-basins/"" target=""_blank"">Infiltration ponds</a> (<a href=""https://inowas.com/mar-methods/soil-aquifer-treatment-sat/"" target=""_blank"">SAT</a>)",Reclaimed wastewater,no data,Water Quality Management,"<a href=""http://wst.iwaponline.com/content/25/12/239"" target=""_blank"">Bennani, A. C., J. Lary, A. Nrhira, L. Razouki, J. Bize, and N. Nivault. 1992. Wastewater Treatment of Greater Agadir (Morocco): An Original Solution for Protecting the Bay of Agadir b"
Global_MAR_Inventory.45,45,POINT (44.331205 15.38153),56,Mekhtan Dam,Africa,Yemen,15.38153,44.331205,1999,-9999,In-Channel Modification,Recharge Dam,"<a href=""https://inowas.com/mar-methods/recharge-dams/"" target=""_blank"">Recharge dams</a>",River water,no data,Physical Aquifer Management,"<a href=""http://www.yemenwater.org/wp-content/uploads/2013/02/Wahib-Al-Qubatees-Thesis.pdf"" target=""_blank"">Al-Qubatee, W. S. M. M. 2009. Artificial Recharge Assessment of Groundwater through Mekhtan Dam, Bani Husheish, Sana’a Basin – Yemen and Ways"
